2025 07 16 13 27 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 -118.4411 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0095.4393 0000.0000   0000.0000 0000.0000 -113.6458 0000.0000  0000.0000 0000.0000 -116.5022 0000.0000   0000.0000 0000.0000 0096.3889 0000.0000  0000.0000 0000.0000 0093.6469 0000.0000
2025 07 16 13 27 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -116.7836 0000.0000 0000.0000 0000.0000  -118.0788 0000.0000 0000.0000 0000.0000   0090.4747 0000.0000 0000.0000 0000.0000  0098.8727 0000.0000 0000.0000 0000.0000   -119.0633 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0094.6674 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 52  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 -114.9688 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0094.2332 0000.0000 0000.0000   0000.0000 0000.0000 -117.9745 0000.0000  0000.0000 0000.0000 -117.4264 0000.0000   0000.0000 0000.0000 0092.9299 0000.0000  0000.0000 0000.0000 0096.1611 0000.0000   0000.0000 0000.0000 0000.0000 -115.1207  0000.0000 0000.0000 0000.0000 -117.9361   0000.0000 0000.0000 0000.0000 0114.1987  0000.0000 0000.0000 0000.0000 0111.5890
2025 07 16 13 27 52  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -117.0056  0000.0000 0000.0000 0000.0000 -121.3774   0000.0000 0000.0000 0000.0000 0106.7008  0000.0000 0000.0000 0000.0000 0107.2130   0000.0000 0000.0000 -122.4006 0000.0000  0000.0000 0000.0000 -122.2383 0000.0000   0000.0000 0000.0000 0103.7367 0000.0000  0000.0000 0000.0000 0106.2029 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 53  1   0000.0000 -112.4547 0000.0000 0000.0000  0000.0000 -116.7245 0000.0000 0000.0000   0000.0000 0090.7066 0000.0000 0000.0000  0000.0000 0100.4886 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -115.0379  0000.0000 0000.0000 0000.0000 -119.9159   0000.0000 0000.0000 0000.0000 0112.7766  0000.0000 0000.0000 0000.0000 0113.2046   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 54  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -121.0523  0000.0000 0000.0000 0000.0000 -125.2187   0000.0000 0000.0000 0000.0000 0100.0922  0000.0000 0000.0000 0000.0000 0099.6451   0000.0000 -127.3637 0000.0000 0000.0000  0000.0000 -125.0666 0000.0000 0000.0000   0000.0000 0101.0521 0000.0000 0000.0000  0000.0000 0101.8661 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 54  1   0000.0000 -116.9515 -117.5449 0000.0000  0000.0000 -121.4854 -121.2395 0000.0000   0000.0000 0089.5503 0100.9524 0000.0000  0000.0000 0099.8233 0095.1437 0000.0000   -122.3215 0000.0000 0000.0000 0000.0000  -123.7364 0000.0000 0000.0000 0000.0000   0116.6034 0000.0000 0000.0000 0000.0000  0126.4614 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 54  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 -112.8717 0000.0000  0000.0000 0000.0000 -114.8738 0000.0000   0000.0000 0000.0000 0099.8237 0000.0000  0000.0000 0000.0000 0091.4731 0000.0000   -118.5017 -119.1031 -118.9299 -116.4528  -116.2845 -117.1142 -118.2946 -117.3218   0089.3035 0169.5417 0090.0318 0086.2580  0093.4440 0169.4016 0093.3787 0089.3515   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 57  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 -115.7608 0000.0000 0000.0000  0000.0000 -118.3826 0000.0000 0000.0000   0000.0000 0096.9337 0000.0000 0000.0000  0000.0000 0095.8929 0000.0000 0000.0000   0000.0000 -120.5097 0000.0000 0000.0000  0000.0000 -118.9516 0000.0000 0000.0000   0000.0000 0104.3021 0000.0000 0000.0000  0000.0000 0105.2028 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 27 59  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 -112.1252 0000.0000  0000.0000 0000.0000 -114.0028 0000.0000   0000.0000 0000.0000 0097.0851 0000.0000  0000.0000 0000.0000 0089.1079 0000.0000   0000.0000 0000.0000 -116.5621 -114.4158  0000.0000 0000.0000 -116.3073 0000.0000   0000.0000 0000.0000 0096.4013 0090.3411  0000.0000 0000.0000 0100.0418 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
